#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                  mt19937-1G.bin|  4.03e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.35482466|  PASSED  
# The file file_input_raw was rewound 121 times
      rgb_lagged_sum|  21|   1000000|     100|0.06482431|  PASSED  
# The file file_input_raw was rewound 130 times
      rgb_lagged_sum|  22|   1000000|     100|0.57328513|  PASSED  
# The file file_input_raw was rewound 140 times
      rgb_lagged_sum|  23|   1000000|     100|0.02346433|  PASSED  
# The file file_input_raw was rewound 150 times
      rgb_lagged_sum|  24|   1000000|     100|0.00531514|  PASSED  
# The file file_input_raw was rewound 160 times
      rgb_lagged_sum|  25|   1000000|     100|0.23550342|  PASSED  
# The file file_input_raw was rewound 171 times
      rgb_lagged_sum|  26|   1000000|     100|0.85022395|  PASSED  
# The file file_input_raw was rewound 182 times
      rgb_lagged_sum|  27|   1000000|     100|0.16732151|  PASSED  
# The file file_input_raw was rewound 194 times
      rgb_lagged_sum|  28|   1000000|     100|0.65673235|  PASSED  
# The file file_input_raw was rewound 206 times
      rgb_lagged_sum|  29|   1000000|     100|0.02345058|  PASSED  
# The file file_input_raw was rewound 218 times
      rgb_lagged_sum|  30|   1000000|     100|0.87378248|  PASSED  
# The file file_input_raw was rewound 231 times
      rgb_lagged_sum|  31|   1000000|     100|0.22622904|  PASSED  
# The file file_input_raw was rewound 244 times
      rgb_lagged_sum|  32|   1000000|     100|0.75399420|  PASSED  
# The file file_input_raw was rewound 244 times
     rgb_kstest_test|   0|     10000|    1000|0.38136168|  PASSED  
# The file file_input_raw was rewound 245 times
     dab_bytedistrib|   0|  51200000|       1|0.87141606|  PASSED  
# The file file_input_raw was rewound 245 times
             dab_dct| 256|     50000|       1|0.41300028|  PASSED  
Preparing to run test 207.  ntuple = 0
# The file file_input_raw was rewound 246 times
        dab_filltree|  32|  15000000|       1|0.51766327|  PASSED  
        dab_filltree|  32|  15000000|       1|0.52726463|  PASSED  
Preparing to run test 208.  ntuple = 0
# The file file_input_raw was rewound 246 times
       dab_filltree2|   0|   5000000|       1|0.42339201|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.29776262|  PASSED  
Preparing to run test 209.  ntuple = 0
# The file file_input_raw was rewound 246 times
        dab_monobit2|  12|  65000000|       1|0.51079669|  PASSED  
