#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                 rnd-openssl.bin|  4.61e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  26|   1000000|     100|0.85418664|  PASSED  
# The file file_input_raw was rewound 182 times
      rgb_lagged_sum|  27|   1000000|     100|0.10802935|  PASSED  
# The file file_input_raw was rewound 194 times
      rgb_lagged_sum|  28|   1000000|     100|0.19781993|  PASSED  
# The file file_input_raw was rewound 206 times
      rgb_lagged_sum|  29|   1000000|     100|0.02370615|  PASSED  
# The file file_input_raw was rewound 218 times
      rgb_lagged_sum|  30|   1000000|     100|0.23154394|  PASSED  
# The file file_input_raw was rewound 231 times
      rgb_lagged_sum|  31|   1000000|     100|0.00003170|   WEAK   
# The file file_input_raw was rewound 244 times
      rgb_lagged_sum|  32|   1000000|     100|0.71794550|  PASSED  
# The file file_input_raw was rewound 244 times
     rgb_kstest_test|   0|     10000|    1000|0.12660176|  PASSED  
# The file file_input_raw was rewound 245 times
     dab_bytedistrib|   0|  51200000|       1|0.77519207|  PASSED  
# The file file_input_raw was rewound 245 times
             dab_dct| 256|     50000|       1|0.62108329|  PASSED  
Preparing to run test 207.  ntuple = 0
# The file file_input_raw was rewound 246 times
        dab_filltree|  32|  15000000|       1|0.47118792|  PASSED  
        dab_filltree|  32|  15000000|       1|0.00116475|   WEAK   
Preparing to run test 208.  ntuple = 0
# The file file_input_raw was rewound 246 times
       dab_filltree2|   0|   5000000|       1|0.58589927|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.27057681|  PASSED  
Preparing to run test 209.  ntuple = 0
# The file file_input_raw was rewound 246 times
        dab_monobit2|  12|  65000000|       1|0.89636841|  PASSED  
